n,merge,hybrid5,hybrid10,hybrid20,hybrid30,hybrid50
49300,31956,27778,27471,23432,27572,21604
49400,31027,27511,24731,23682,21366,31490
49500,40286,31793,25056,23417,21938,19828
49600,30179,29793,26151,25042,22007,20876
49700,30799,27926,24976,23638,22754,24629
49800,39295,33077,32503,22653,23304,18964
49900,31699,27911,25438,31662,23402,31918
50000,33911,35069,43961,52748,27158,24814
50100,34036,28239,25841,23098,22538,19437
50200,31250,28904,26311,23060,21593,19398
50300,33397,29417,28796,31874,27993,23834
50400,30957,30802,26705,24370,22584,19132
50500,31150,32382,28860,23258,22090,19459
50600,31861,30057,32218,29165,28459,24539
50700,32874,28166,27826,23582,23655,21248
50800,31485,33141,25659,23752,23640,19639
50900,42192,51795,53319,30568,20850,20214
51000,32879,28996,37262,24976,31332,23349
51100,45194,36347,35272,26184,21977,32521
51200,45893,39991,30034,28835,23887,19745
51300,32440,29174,29647,24793,22790,22719
51400,41138,36083,26575,41208,43687,25834
51500,34996,31613,29543,26367,26858,24843
51600,39978,34077,29514,31426,26101,25179
51700,43515,52949,35806,29210,30310,25596
51800,37616,42485,46297,36071,30709,30628
51900,33266,35200,42384,30742,28642,26488
52000,32303,28321,27190,25271,23428,22117
52100,34499,29052,26334,25114,22913,22383
52200,33607,35555,37233,28123,23025,22760
52300,32290,29523,27619,24892,22707,21856
52400,32582,29637,27459,25667,25687,23498
52500,33094,42000,33222,28201,24242,22342
52600,32104,30600,28949,25161,22415,22936
52700,33673,30250,28293,24568,22275,23675
52800,46680,35864,29781,25710,25236,22487
52900,33655,30004,27291,25572,23396,23662
53000,32596,31318,27438,25019,22756,30411
53100,53981,34184,27892,25890,23244,22462
53200,34197,32068,27456,24747,23346,23916
53300,34328,30158,27835,29006,29790,30295
53400,37081,31259,30388,25592,26394,25113
53500,44038,35575,35317,25296,24852,23614
53600,32623,38043,36359,28553,23014,23213
53700,34299,29229,28782,28788,22988,22508
53800,35664,34452,27158,24829,27100,24503
53900,45687,40623,26997,26523,23471,23155
54000,34934,35970,32846,29712,25556,24896
54100,35586,31942,28642,35347,30457,30648
54200,36712,31544,28352,25492,23285,25420
54300,34852,31867,27511,25826,27310,26020
54400,35052,34978,41521,32095,22505,23149
54500,34657,30645,28325,28854,47483,58800
54600,47706,35574,38534,38218,37105,34862
54700,40242,39452,33991,29145,31005,31575
54800,42814,40962,42846,69242,54294,62795
54900,66362,68558,49297,35500,30393,31007
55000,51112,46151,48967,49548,30921,37190
55100,45653,40987,32039,32036,33982,29777
55200,42351,37212,57002,62497,33175,28814
55300,48425,37944,33959,31519,27611,34984
55400,42602,38647,33754,55096,47919,40561
55500,49737,45828,38695,30613,29033,32312
55600,45429,37559,35709,45046,36728,33449
55700,47377,36089,32083,33526,26150,27022
55800,39581,35124,29302,49911,70331,83796
55900,58178,48453,35501,47461,47067,59756
56000,91125,88672,75500,71111,52997,48922
56100,72370,43063,43474,49385,37522,40347
56200,39606,38839,37772,31553,26418,29202
56300,44602,37815,36353,36334,27729,40822
56400,65641,51059,34689,33246,27470,28466
56500,45212,35807,42649,35195,34091,43097
56600,62813,57404,40279,33001,31260,31704
56700,49876,49154,41927,37260,42873,54003
56800,63095,44443,39479,37403,32273,49729
56900,49203,51410,41522,51720,60539,72726
57000,71244,44841,41529,68176,48120,38034
57100,50276,42727,68978,90320,59904,61456
57200,75419,55885,41378,37450,41563,82463
57300,107413,47202,64810,54393,33876,27161
57400,51605,39284,40017,36972,29268,27624
57500,51945,43173,30005,26443,24514,28561
